Date,location,tweetCount
07-03-2018,Carlow,5
07-03-2018,Clare,36
07-03-2018,Cork,5
07-03-2018,Donegal,0
07-03-2018,Dublin,162
07-03-2018,Fingal,0
07-03-2018,Galway,0
07-03-2018,Kerry,0
07-03-2018,Limerick,0
07-03-2018,Sligo,0
08-03-2018,Carlow,0
08-03-2018,Clare,0
08-03-2018,Cork,11
08-03-2018,Donegal,0
08-03-2018,Dublin,502
08-03-2018,Fingal,0
08-03-2018,Galway,36
08-03-2018,Kerry,0
08-03-2018,Limerick,83
08-03-2018,Sligo,0
09-03-2018,Carlow,0
09-03-2018,Clare,97
09-03-2018,Cork,108
09-03-2018,Donegal,0
09-03-2018,Dublin,477
09-03-2018,Fingal,0
09-03-2018,Galway,0
09-03-2018,Kerry,0
09-03-2018,Limerick,56
09-03-2018,Sligo,0
10-03-2018,Carlow,0
10-03-2018,Clare,0
10-03-2018,Cork,177
10-03-2018,Donegal,0
10-03-2018,Dublin,61
10-03-2018,Fingal,0
10-03-2018,Galway,180
10-03-2018,Kerry,73
10-03-2018,Limerick,0
10-03-2018,Sligo,0
11-03-2018,Carlow,0
11-03-2018,Clare,0
11-03-2018,Cork,87
11-03-2018,Donegal,0
11-03-2018,Dublin,885
11-03-2018,Fingal,0
11-03-2018,Galway,0
11-03-2018,Kerry,226
11-03-2018,Limerick,0
11-03-2018,Sligo,0
12-03-2018,Carlow,0
12-03-2018,Clare,38
12-03-2018,Cork,0
12-03-2018,Donegal,134
12-03-2018,Dublin,126
12-03-2018,Fingal,0
12-03-2018,Galway,0
12-03-2018,Kerry,0
12-03-2018,Limerick,39
12-03-2018,Sligo,0
13-03-2018,Carlow,0
13-03-2018,Clare,0
13-03-2018,Cork,2
13-03-2018,Donegal,0
13-03-2018,Dublin,129
13-03-2018,Fingal,0
13-03-2018,Galway,5
13-03-2018,Kerry,93
13-03-2018,Limerick,339
13-03-2018,Sligo,13
