name,weight
maggiemai66,125
SeanKyneTD,4673
yllekonadnerb,3574
EHFoundation237,19824
IWCare,10284
rhonapinard,73
StevenMobile,711
blackcoffeecup,896
ebhodge,2597
ColmJamesWard,575
IrishWater,21669
KMurphyIndep,1631
wolfiewire,5148
maryharryheff,4019
FrackFreeClare,1445
LegalEagleStar,4078
monkstown,77
MayoCoCo,5795
responseTshirt,64
steve16136,121
SeanC_Mayo,14
lauritablewitt,932
daracalleary,8401
Mullane4county,692
FeinMeath,559
fennessy_edward,625
meathcoco,7313
welgraaf,13508
PaulRumgay,14
melodymelo,67
orlaithblaney,5158
AdrienneHickey,115
re_keogh,354
LimerickCouncil,10199
GaryOnGaming,57
dlrcc,9688
templemore85,516
Sea__Solitude,863
greenshame,779
countryboy606,1902
IrelandUncut,11401
DooleysBoston,41
Revolution_IRL,11272
gordonLunar,869
mcdonnda,26
noelmaguireirl,1010
EveEarley,1717
brianphelan77,395
Cleggan1,52
gfm101,1885
Paulinemcmulle7,158
SrTz7Yo3O6SqGpq,735
VacanthomesIRL,1254
MCOR1963,346
Connie_2017,748
tonyorr55,558
dublinpaddy22,525
IamColdBear,130
orobin88,817
strumpetcity,2380
sensimeliajah,8476
Fionnuala____,1810
laughinglashes,185
elacarroll,47
ernest2385,3579
mdecaf,183
dillyday,112
3179Arshavin,133
rainbowsnshine,199
theLatchicokid,1892
SvtigerStephane,1377
_irishrepublic,1920
Unitedpeople_ie,448
peterkinvara,314
MarionDublin,1771
vionnbar,849
MartinaDunne4,2622
caulmick,7378
camcruise,1535
fourwheelsbad69,526
mar_lfc,1112
Pillar_Citizen,1366
HaganNoeleen,1138
EDDIEBARRETT,777
UnitedEire2016,1510
comagirlx,1020
phylmurphy,2007
jeffrudd31,671
watbanner,1802
roscommoncoco,3852
RebuildingIRL,2936
jujubean_x,119
JohnNorth50,885
soulshenanigans,420
nicearbhaill,17
20johnnyblue,82
__soundwave82,190
gazzahead,3257
HelloChocolatey,262
OBrienSheehan,1695
Filly_10,368
MartinCostell16,531
scrahallia,2164
BellesFitz,852
my_kokua,1434
busterkelly,708
EyrecourtGlebe,613
nomorequangos,699
Catheri22542014,1067
Sabs0000,267
Trishadem,38
Roy_O_Rourke,275
wexfordcoco,8987
kilkeal,1836
SDublinChamber,6403
DecadentB,1464
PadpowPower,70
DowningHelen,1389
jeremykearney,97
WexfordHour,2964
tnteacherTim,4092
tryan162,206
LourdaCasserly,29
louthcoco,6945
Jim_Moor,1027
dalkeyhead,515
duffycj,555
Corkcoco,15605
CobhTourism,2307
Gaffrow,175
kencurtin,9999
MsFrugalone,4267
kudzu_dub,126
Sammybreezy5589,91
charliep2006,362
LocalLinkWex,87
mariebrod,2561
eastsmer,654
robinesca,262
KimMayRice,952
Castletonian,1739
Bullslooks,1481
jesusinthehous2,48
pfarrell101,259
ellen_rey,147
Codsmouth58,625
edelnortonjames,411
sdublincoco,11096
Glic16,1738
Sarah_Baybay,65
chaburn,85
KJMurrayCEng,1054
jemb123,4462
MoiraLeBlanc,275
twospacesecure,493
soundabuse,1293
xtom,937
Shazbear2,422
TinaMacVeigh,2319
merrionstreet,28624
SusanCa98864211,1183
fogabhan,390
Marcus_Suridius,546
DazzerFury,3152
EoghanBrennan7,17
murda197,305
OHeadhra,1181
morrisquinn,907
HazelKLarkin,3939
RitaRitadoyle1,640
emmacollins7,161
BeneavinCollege,919
DentalCareIrl,667
aine60,418
MayoDotIE,10769
missmimilove,789
S1nope,13
Rod77Red,571
SuzyYoung24,692
PowerStateFail,609
JasonMcC31,78
kathconnaugh,366
Antoblfc,3139
glooking,68
cronny86,376
Timmyom,258
Us_Irish,1255
sylmurphy,420
macanfearrua,434
leonaleecully,1027
rodgepodger,7
nealgartland1,206
RiochtNaSaor,1621
cath3750,273
dubhghaill2,404
damienmulley,17498
Becker45,102
JohnAirCon,374
ronanmooney,2799
TheresaDaly1,540
Paulgannon99,238
Edwardkennedy84,1313
